row_type,step,group,term,raw,reference,fulfillment,discounted_sum,fpl_score
perstep,3,posture,right_ankle_pitch_joint,-0.016578,0.000000,0.981003,,
perstep,3,posture,right_ankle_roll_joint,0.016638,0.000000,0.936449,,
perstep,3,posture,waist_yaw_joint,-0.017117,0.000000,0.993462,,
perstep,3,posture,waist_roll_joint,0.001539,0.000000,0.997041,,
perstep,3,posture,waist_pitch_joint,-0.005173,0.000000,0.990051,,
perstep,3,posture,left_shoulder_pitch_joint,0.138982,0.200000,0.981449,,
perstep,3,posture,left_shoulder_roll_joint,0.111353,0.200000,0.956789,,
perstep,3,posture,left_shoulder_yaw_joint,-0.015781,0.000000,0.993972,,
perstep,3,posture,left_elbow_joint,1.188850,1.280000,0.960833,,
perstep,3,posture,left_wrist_roll_joint,0.028780,0.000000,0.985407,,
perstep,3,posture,left_wrist_pitch_joint,-0.010667,0.000000,0.993392,,
perstep,3,posture,left_wrist_yaw_joint,0.013302,0.000000,0.991761,,
perstep,3,posture,right_shoulder_pitch_joint,0.127029,0.200000,0.977815,,
perstep,3,posture,right_shoulder_roll_joint,-0.110119,-0.200000,0.956188,,
perstep,3,posture,right_shoulder_yaw_joint,0.009865,0.000000,0.996232,,
perstep,3,posture,right_elbow_joint,1.187418,1.280000,0.960217,,
perstep,3,posture,right_wrist_roll_joint,-0.020012,0.000000,0.989853,,
perstep,3,posture,right_wrist_pitch_joint,0.002512,0.000000,0.998444,,
perstep,3,posture,right_wrist_yaw_joint,-0.000564,0.000000,0.999651,,
perstep,4,orientation,orientation_rz,0.997883,1.000000,1.000000,,
perstep,4,height,torso_height,0.979199,0.900000,0.912002,,
perstep,4,posture,left_hip_pitch_joint,0.028397,0.000000,0.990139,,
perstep,4,posture,left_hip_roll_joint,0.011094,0.000000,0.996261,,
perstep,4,posture,left_hip_yaw_joint,0.004208,0.000000,0.998474,,
perstep,4,posture,left_knee_joint,0.120115,0.000000,0.958291,,
perstep,4,posture,left_ankle_pitch_joint,-0.006070,0.000000,0.993044,,
perstep,4,posture,left_ankle_roll_joint,-0.001806,0.000000,0.993102,,
perstep,4,posture,right_hip_pitch_joint,0.020573,0.000000,0.992856,,
perstep,4,posture,right_hip_roll_joint,0.023619,0.000000,0.992040,,
perstep,4,posture,right_hip_yaw_joint,0.037759,0.000000,0.986307,,
perstep,4,posture,right_knee_joint,0.112138,0.000000,0.961060,,
perstep,4,posture,right_ankle_pitch_joint,-0.000527,0.000000,0.999397,,
perstep,4,posture,right_ankle_roll_joint,0.010551,0.000000,0.959696,,
perstep,4,posture,waist_yaw_joint,-0.006341,0.000000,0.997578,,
perstep,4,posture,waist_roll_joint,0.010419,0.000000,0.979963,,
perstep,4,posture,waist_pitch_joint,-0.020498,0.000000,0.960580,,
perstep,4,posture,left_shoulder_pitch_joint,0.134281,0.200000,0.980020,,
perstep,4,posture,left_shoulder_roll_joint,0.081229,0.200000,0.942105,,
perstep,4,posture,left_shoulder_yaw_joint,-0.021696,0.000000,0.991713,,
perstep,4,posture,left_elbow_joint,1.141904,1.280000,0.940660,,
perstep,4,posture,left_wrist_roll_joint,0.026569,0.000000,0.986528,,
perstep,4,posture,left_wrist_pitch_joint,-0.014008,0.000000,0.991323,,
perstep,4,posture,left_wrist_yaw_joint,0.017642,0.000000,0.989072,,
perstep,4,posture,right_shoulder_pitch_joint,0.115950,0.200000,0.974447,,
perstep,4,posture,right_shoulder_roll_joint,-0.071463,-0.200000,0.937345,,
perstep,4,posture,right_shoulder_yaw_joint,0.018760,0.000000,0.992834,,
perstep,4,posture,right_elbow_joint,1.140250,1.280000,0.939949,,
perstep,4,posture,right_wrist_roll_joint,-0.007642,0.000000,0.996125,,
perstep,4,posture,right_wrist_pitch_joint,0.003523,0.000000,0.997818,,
perstep,4,posture,right_wrist_yaw_joint,0.001194,0.000000,0.999260,,
perstep,5,orientation,orientation_rz,0.995020,1.000000,1.000000,,
perstep,5,height,torso_height,0.978580,0.900000,0.912689,,
perstep,5,posture,left_hip_pitch_joint,0.037247,0.000000,0.987066,,
perstep,5,posture,left_hip_roll_joint,0.008670,0.000000,0.997078,,
perstep,5,posture,left_hip_yaw_joint,-0.014811,0.000000,0.994629,,
perstep,5,posture,left_knee_joint,0.139061,0.000000,0.951712,,
perstep,5,posture,left_ankle_pitch_joint,-0.006340,0.000000,0.992735,,
perstep,5,posture,left_ankle_roll_joint,-0.004023,0.000000,0.984635,,
perstep,5,posture,right_hip_pitch_joint,0.010520,0.000000,0.996347,,
perstep,5,posture,right_hip_roll_joint,0.023738,0.000000,0.992000,,
perstep,5,posture,right_hip_yaw_joint,0.033435,0.000000,0.987875,,
perstep,5,posture,right_knee_joint,0.142281,0.000000,0.950593,,
perstep,5,posture,right_ankle_pitch_joint,0.004805,0.000000,0.994494,,
perstep,5,posture,right_ankle_roll_joint,0.002412,0.000000,0.990787,,
perstep,5,posture,waist_yaw_joint,0.023658,0.000000,0.990963,,
perstep,5,posture,waist_roll_joint,0.011982,0.000000,0.976957,,
perstep,5,posture,waist_pitch_joint,-0.037702,0.000000,0.927497,,
perstep,5,posture,left_shoulder_pitch_joint,0.137699,0.200000,0.981059,,
perstep,5,posture,left_shoulder_roll_joint,0.059987,0.200000,0.931751,,
perstep,5,posture,left_shoulder_yaw_joint,-0.037803,0.000000,0.985560,,
perstep,5,posture,left_elbow_joint,1.084542,1.280000,0.916012,,
perstep,5,posture,left_wrist_roll_joint,0.014361,0.000000,0.992718,,
perstep,5,posture,left_wrist_pitch_joint,-0.015430,0.000000,0.990443,,
perstep,5,posture,left_wrist_yaw_joint,0.019940,0.000000,0.987649,,
perstep,5,posture,right_shoulder_pitch_joint,0.110966,0.200000,0.972931,,
perstep,5,posture,right_shoulder_roll_joint,-0.041064,-0.200000,0.922527,,
perstep,5,posture,right_shoulder_yaw_joint,0.037938,0.000000,0.985509,,
perstep,5,posture,right_elbow_joint,1.083420,1.280000,0.915529,,
perstep,5,posture,right_wrist_roll_joint,0.006079,0.000000,0.996918,,
perstep,5,posture,right_wrist_pitch_joint,0.002633,0.000000,0.998369,,
perstep,5,posture,right_wrist_yaw_joint,0.001022,0.000000,0.999367,,
perstep,6,orientation,orientation_rz,0.991251,1.000000,1.000000,,
perstep,6,height,torso_height,0.977234,0.900000,0.914184,,
perstep,6,posture,left_hip_pitch_joint,0.039119,0.000000,0.986416,,
perstep,6,posture,left_hip_roll_joint,0.006438,0.000000,0.997830,,
perstep,6,posture,left_hip_yaw_joint,-0.038291,0.000000,0.986114,,
perstep,6,posture,left_knee_joint,0.161319,0.000000,0.943983,,
perstep,6,posture,left_ankle_pitch_joint,-0.004601,0.000000,0.994728,,
perstep,6,posture,left_ankle_roll_joint,-0.008589,0.000000,0.967191,,
perstep,6,posture,right_hip_pitch_joint,0.008325,0.000000,0.997109,,
perstep,6,posture,right_hip_roll_joint,0.023809,0.000000,0.991976,,
perstep,6,posture,right_hip_yaw_joint,0.025190,0.000000,0.990865,,
perstep,6,posture,right_knee_joint,0.159545,0.000000,0.944598,,
perstep,6,posture,right_ankle_pitch_joint,0.016510,0.000000,0.981081,,
perstep,6,posture,right_ankle_roll_joint,-0.001547,0.000000,0.994090,,
perstep,6,posture,waist_yaw_joint,0.035591,0.000000,0.986405,,
perstep,6,posture,waist_roll_joint,0.021079,0.000000,0.959463,,
perstep,6,posture,waist_pitch_joint,-0.051982,0.000000,0.900034,,
perstep,6,posture,left_shoulder_pitch_joint,0.135180,0.200000,0.980293,,
perstep,6,posture,left_shoulder_roll_joint,0.046547,0.200000,0.925199,,
perstep,6,posture,left_shoulder_yaw_joint,-0.048396,0.000000,0.981514,,
perstep,6,posture,left_elbow_joint,1.017953,1.280000,0.887398,,
perstep,6,posture,left_wrist_roll_joint,0.006808,0.000000,0.996548,,
perstep,6,posture,left_wrist_pitch_joint,-0.014641,0.000000,0.990931,,
perstep,6,posture,left_wrist_yaw_joint,0.020135,0.000000,0.987528,,
perstep,6,posture,right_shoulder_pitch_joint,0.110437,0.200000,0.972771,,
perstep,6,posture,right_shoulder_roll_joint,-0.019328,-0.200000,0.911932,,
perstep,6,posture,right_shoulder_yaw_joint,0.048582,0.000000,0.981443,,
perstep,6,posture,right_elbow_joint,1.016665,1.280000,0.886845,,
perstep,6,posture,right_wrist_roll_joint,0.012156,0.000000,0.993836,,
perstep,6,posture,right_wrist_pitch_joint,0.002503,0.000000,0.998450,,
perstep,6,posture,right_wrist_yaw_joint,0.002565,0.000000,0.998411,,
perstep,7,orientation,orientation_rz,0.986779,1.000000,1.000000,,
perstep,7,height,torso_height,0.975625,0.900000,0.915972,,
perstep,7,posture,left_hip_pitch_joint,0.045765,0.000000,0.984108,,
perstep,7,posture,left_hip_roll_joint,-0.001986,0.000000,0.999331,,
perstep,7,posture,left_hip_yaw_joint,-0.039375,0.000000,0.985721,,
